Label,ABA,ABC,ACA,ACC,ACB,ADC,ACD,ADA,ASD,ASF,ASG,ASH,ASJ,ASK,ASL,ASZ,ASX,ASC,ASV,ASB,ASN,ASM,ASQ,ASW,ASE,ASR,AST,ASY,ASU,ASI,ASO,ASP,BAA,BAS,BAD,BAF,BAG,BAH,BAJ,AAAA,AAAS,AAAD,AAAF,AAAG,AAAH,AAAJ,AAAK,AAAL,AAAQ,AAAW,AAAE,AAAR,AAAT,AAAY,AAAU,AAAI,AAAO,AAAP,AAAZ,AAAX,AAAC,AAAV,AAAB,AAAN,AAAM,AASA,AASS,AASD,AASF,AASG,AASH,AASJ,AASK,AASL,AASQ,AASW,AASE,AASR,AAST,AASY,AASU,AASI,AASO,AASP,AASZ,AASX,AASC,AASV,AASB,AASN,AASM,AADA,AADS,AADS,AADD,AADF,AADG,AADH,AADJ,A,S,D,F,G,H,J,K,L,P,O,I,U,Y,T,R,E,W,Q,Z,X,C,V,B,N,M,Aa,Ss,Dd,Ff,Gg,Hh,Jj,Kk,Ll,Pp,Oo,Ii,Uu,Yy,Tt,Rr,Ee,Ww,Qq,Zz,Xx,Cc,Vv,Bb,Nn,Mm,a,s,d,f,g,h,j,k,l,p,o,i,u,y,t,r,e,w,q,z,x,c,v,b,n,m,aA,sS,dD,fF,Gg,Hh,Jj,Kk,Ll,Pp,Oo,Ii,Uu,Yy,Tt,Rr,Ee,Ww,Qq,Zz,Xx,Cc,Vv,Bb,Nn,Mm,aAa,aSa,aDa,aFa,aGa,aHa,aJa,aKa,aLa,aQa,aWa,aEa,aRa,aTa,aYa,aUa,aIa,aOa,aPa,aZa,axa,aza,aca,ava,aba,ana,ama,aaa,asa,aas,aad,aaf,aag,aah,aaj,aak,aal,aaq,aaw,aae,aar,aat,aay,aau,aai,aao,aap,aaz,aax,aac,aav,aab,aan,aam,asa,asd,asf,asg,ash,asj,ask,asl,asq,asw,ase,asr,ast,sy,asu,asi,aso,asp,asz,sx,asc,asv,asb,asn,asm,aza,azs,azd,azf,azg,azh,azj,azk,azl,zqa,azw,azr
1,1,0,0,0.333333333,0.666666667,1.11E-16,0.666666667,0.333333333,5.55E-17,0.666666667,0.333333333,5.55E-17,1,0,0,1,0,0,1,0,0,0,0.333333333,0.666666667,0,0,1,0,0.333333333,0.666666667,0.666666667,0,0.333333333,1,0,0,0,1,0,0,1,0,1,0,1,0.266666667,0.733333333,0.388888889,0.611111111,0.318181818,0.681818182,0.28,0.72,0.310344828,0.689655172,0.34375,0.65625,0.305555556,0.694444444,0.358974359,0.641025641,0.348837209,0.651162791,0.391304348,0.608695652,0.42,0.58,0.396226415,0.603773585,0.421052632,0.578947368,0.459016393,0.540983607,0.484375,0.515625,0.5,0.5,0.521126761,0.478873239,0.546666667,0.453333333,0.525641026,0.474358974,0.536585366,0.463414634,0.552941176,0.447058824,0.573033708,0.426966292,0.576086957,0.423913043,0.572916667,0.427083333,0.585858586,0.414141414,0.601941748,0.398058252,0.58490566,0.41509434,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0
1,0,0.333333333,0.666666667,0,1,0,0.333333333,0.666666667,1.11E-16,0,0.333333333,0.666666667,0,1,0,0,0.333333333,0.666666667,0,0,1,0.333333333,0.666666667,1.11E-16,0.666666667,0.333333333,5.55E-17,0.333333333,0.666666667,1.11E-16,0,1,0,0.333333333,0.666666667,1.11E-16,1,0,0,0.5,0.5,0.375,0.625,0.272727273,0.727272727,0.333333333,0.666666667,0.444444444,0.555555556,0.545454545,0.454545455,0.56,0.44,0.482758621,0.517241379,0.53125,0.46875,0.555555556,0.444444444,0.58974359,0.41025641,0.558139535,0.441860465,0.586956522,0.413043478,0.56,0.44,0.58490566,0.41509434,0.578947368,0.421052632,0.606557377,0.393442623,0.625,0.375,0.602941176,0.397058824,0.61971831,0.38028169,0.64,0.36,0.653846154,0.346153846,0.646341463,0.353658537,0.658823529,0.341176471,0.662921348,0.337078652,0.663043478,0.336956522,0.677083333,0.322916667,0.686868687,0.313131313,0.669902913,0.330097087,0.650943396,0.349056604,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0
1,0.5,0.375,0.125,0.625,0.25,0.125,0.75,0.125,0.125,0.625,0.25,0.125,0.75,0.25,0,0.5,0.375,0.125,0.625,0.125,0.25,0.5,0.375,0.125,0.125,0.375,0.5,0.5,0.375,0.125,0.125,0.5,0.375,0.625,0,0.375,0.375,0.5,0.125,0.25,0.75,0.25,0.75,0.272727273,0.727272727,0.333333333,0.666666667,0.277777778,0.722222222,0.272727273,0.727272727,0.28,0.72,0.344827586,0.655172414,0.375,0.625,0.361111111,0.638888889,0.333333333,0.666666667,0.302325581,0.697674419,0.282608696,0.717391304,0.26,0.74,0.301886792,0.698113208,0.350877193,0.649122807,0.393442623,0.606557377,0.421875,0.578125,0.455882353,0.544117647,0.436619718,0.563380282,0.413333333,0.586666667,0.397435897,0.602564103,0.37804878,0.62195122,0.364705882,0.635294118,0.393258427,0.606741573,0.413043478,0.586956522,0.4375,0.5625,0.454545455,0.545454545,0.475728155,0.524271845,0.490566038,0.509433962,12.5,12.5,37.5,50,62.5,25,25,25,75,100,87.5,87.5,87.5,87.5,87.5,25,25,37.5,50,75,12.5,12.5,12.5,12.5,100,87.5,87.5,87.5,87.5,87.5,25,25,50,62.5,100,12.5,12.5,12.5,12.5,12.5,87.5,87.5,87.5,87.5,87.5,12.5,12.5,37.5,50,75,25,25,25,25,100,87.5,87.5,87.5,87.5,87.5,12.5,12.5,37.5,50,75,87.5,87.5,87.5,87.5,100,0,0,0,0,0,12.5,12.5,37.5,50,62.5,25,25,25,75,100,87.5,87.5,87.5,87.5,87.5,12.5,12.5,37.5,50,75,25,25,25,25,25,87.5,87.5,87.5,87.5,100,25,25,37.5,75,100,50,50,50,62.5,87.5,12.5,12.5,12.5,12.5,12.5,87.5,87.5,87.5,87.5,87.5,25,25,25,75,100,12.5,12.5,37.5,50,62.5,25,25,37.5,75,100,50,50,50,62.5,87.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25,25,75,87.5,100,37.5,37.5,37.5,50,62.5,12.5,12.5,50,62.5,100,0,0,0,0,0,25,25,25,37.5,75,25,25,25,87.5,100,12.5,12.5,37.5,50,62.5,75,75,75,75,75
1,0.6,0.4,0,0.6,0.4,0,0.8,0.2,-5.55E-17,0.8,0.2,-5.55E-17,0.8,0.2,-5.55E-17,0.6,0.4,0,0.8,0,0.2,0.4,0.4,0.2,0,0.4,0.6,0.4,0.4,0.2,0.2,0.6,0.2,0.8,0,0.2,0.2,0.6,0.2,0.25,0.75,0.5,0.5,0.363636364,0.636363636,0.4,0.6,0.333333333,0.666666667,0.318181818,0.681818182,0.4,0.6,0.482758621,0.517241379,0.46875,0.53125,0.416666667,0.583333333,0.384615385,0.615384615,0.348837209,0.651162791,0.347826087,0.652173913,0.4,0.6,0.396226415,0.603773585,0.385964912,0.614035088,0.393442623,0.606557377,0.390625,0.609375,0.397058824,0.602941176,0.408450704,0.591549296,0.386666667,0.613333333,0.397435897,0.602564103,0.426829268,0.573170732,0.435294118,0.564705882,0.460674157,0.539325843,0.47826087,0.52173913,0.458333333,0.541666667,0.444444444,0.555555556,0.427184466,0.572815534,0.41509434,0.58490566,60,60,60,80,100,20,20,20,20,40,0,0,0,0,0,20,20,20,60,80,40,40,40,40,100,0,0,0,0,0,20,20,40,60,80,100,100,100,100,100,0,0,0,0,0,20,20,60,80,100,40,40,40,40,40,0,0,0,0,0,20,20,60,80,100,40,40,40,40,40,0,0,0,0,0,60,60,60,80,100,20,20,20,20,40,0,0,0,0,0,20,20,60,80,100,0,0,0,0,0,40,40,40,40,40,20,20,20,20,40,60,60,60,60,80,100,100,100,100,100,0,0,0,0,0,20,20,20,20,40,60,60,60,80,100,20,20,20,20,40,60,60,60,60,80,100,100,100,100,100,100,100,100,100,100,20,20,20,40,80,60,60,60,60,60,40,40,60,80,100,0,0,0,0,0,20,20,20,20,20,40,40,40,40,40,60,60,60,80,100,20,20,20,20,20
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0.5,0.5,0,0,1,0,0,1,0.5,0,0.5,1,0,0,0,0.5,0.5,0,1,0,0.5,0.5,0,0.5,0,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,100,100,100,100,100,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,50,50,50,50,50,0,0,0,0,0,100,100,100,100,100,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,100,100,100,100,100,50,50,50,50,50,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,100,100,100,100,100
1,0.5,0.5,0,1,0,0,1,0,0,0.5,0.5,0,1,0,0,0.5,0.5,0,0.5,0.5,0,1,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,1,0.5,0.5,0,0,1,0.125,0.875,0.363636364,0.636363636,0.466666667,0.533333333,0.388888889,0.611111111,0.318181818,0.681818182,0.28,0.72,0.24137931,0.75862069,0.21875,0.78125,0.222222222,0.777777778,0.282051282,0.717948718,0.348837209,0.651162791,0.391304348,0.608695652,0.44,0.56,0.471698113,0.528301887,0.50877193,0.49122807,0.508196721,0.491803279,0.53125,0.46875,0.544117647,0.455882353,0.549295775,0.450704225,0.573333333,0.426666667,0.58974359,0.41025641,0.597560976,0.402439024,0.611764706,0.388235294,0.629213483,0.370786517,0.630434783,0.369565217,0.645833333,0.354166667,0.656565657,0.343434343,0.640776699,0.359223301,0.622641509,0.377358491,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,100,100,100,100,100,50,50,50,50,50,0,0,0,0,0
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.5,0.5,0,0,0,1,0.5,0.5,0,0,0,1,0.5,0,0.5,0,1,0,0,1,0,1,0,1,0,1,0.166666667,0.833333333,0.136363636,0.863636364,0.12,0.88,0.103448276,0.896551724,0.09375,0.90625,0.083333333,0.916666667,0.102564103,0.897435897,0.093023256,0.906976744,0.130434783,0.869565217,0.16,0.84,0.169811321,0.830188679,0.175438596,0.824561404,0.180327869,0.819672131,0.171875,0.828125,0.161764706,0.838235294,0.154929577,0.845070423,0.146666667,0.853333333,0.141025641,0.858974359,0.134146341,0.865853659,0.129411765,0.870588235,0.123595506,0.876404494,0.119565217,0.880434783,0.114583333,0.885416667,0.111111111,0.888888889,0.106796117,0.893203883,0.103773585,0.896226415,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,50,50,50,50,50,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,100,100,100,100,100,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,50,50,50,50,100,0,0,0,0,0
1,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0.333333333,5.55E-17,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0,1,0,0.333333333,0,0.666666667,0,1,0,0,0.333333333,0.666666667,1,0,0,0.333333333,0.666666667,1.11E-16,0,1,0.125,0.875,0.181818182,0.818181818,0.2,0.8,0.166666667,0.833333333,0.136363636,0.863636364,0.12,0.88,0.103448276,0.896551724,0.09375,0.90625,0.166666667,0.833333333,0.230769231,0.769230769,0.302325581,0.697674419,0.347826087,0.652173913,0.32,0.68,0.301886792,0.698113208,0.280701754,0.719298246,0.278688525,0.721311475,0.3125,0.6875,0.352941176,0.647058824,0.38028169,0.61971831,0.36,0.64,0.384615385,0.615384615,0.402439024,0.597560976,0.4,0.6,0.415730337,0.584269663,0.434782609,0.565217391,0.416666667,0.583333333,0.414141414,0.585858586,0.436893204,0.563106796,0.443396226,0.556603774,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0
1,0,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0.333333333,0.666666667,1.11E-16,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0.333333333,0.666666667,1.11E-16,0.666666667,0.333333333,5.55E-17,0.333333333,0.666666667,1.11E-16,0,1,0,0.333333333,0.333333333,0.333333333,1,0,0,0.75,0.25,0.75,0.25,0.636363636,0.363636364,0.466666667,0.533333333,0.5,0.5,0.590909091,0.409090909,0.64,0.36,0.689655172,0.310344828,0.71875,0.28125,0.75,0.25,0.717948718,0.282051282,0.674418605,0.325581395,0.652173913,0.347826087,0.68,0.32,0.698113208,0.301886792,0.719298246,0.280701754,0.737704918,0.262295082,0.75,0.25,0.735294118,0.264705882,0.746478873,0.253521127,0.76,0.24,0.743589744,0.256410256,0.731707317,0.268292683,0.741176471,0.258823529,0.752808989,0.247191011,0.75,0.25,0.739583333,0.260416667,0.747474747,0.252525253,0.757281553,0.242718447,0.735849057,0.264150943,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,100,100,100,100,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,100,100,100,100,100,33.33333333,33.33333333,33.33333333,66.66666667,100,0,0,0,0,0,0,0,0,0,0
1,0.5,0.375,0.125,0.625,0.25,0.125,0.75,0.125,0.125,0.625,0.25,0.125,0.75,0.25,0,0.5,0.375,0.125,0.625,0.125,0.25,0.5,0.375,0.125,0.125,0.375,0.5,0.5,0.375,0.125,0.125,0.5,0.375,0.625,0,0.375,0.375,0.5,0.125,0.25,0.75,0.125,0.875,0.090909091,0.909090909,0.2,0.8,0.166666667,0.833333333,0.136363636,0.863636364,0.2,0.8,0.206896552,0.793103448,0.25,0.75,0.277777778,0.722222222,0.282051282,0.717948718,0.255813953,0.744186047,0.239130435,0.760869565,0.22,0.78,0.20754717,0.79245283,0.192982456,0.807017544,0.245901639,0.754098361,0.28125,0.71875,0.323529412,0.676470588,0.352112676,0.647887324,0.386666667,0.613333333,0.41025641,0.58974359,0.426829268,0.573170732,0.411764706,0.588235294,0.393258427,0.606741573,0.380434783,0.619565217,0.364583333,0.635416667,0.363636364,0.636363636,0.388349515,0.611650485,0.405660377,0.594339623,50,50,75,87.5,100,12.5,12.5,12.5,37.5,62.5,25,25,25,25,25,12.5,12.5,62.5,75,100,37.5,37.5,37.5,37.5,50,25,25,25,25,25,12.5,12.5,62.5,75,100,50,50,50,50,50,25,25,25,25,25,12.5,12.5,50,75,100,37.5,37.5,37.5,37.5,62.5,25,25,25,25,25,12.5,12.5,62.5,75,100,25,25,25,25,37.5,0,0,0,0,0,50,50,75,87.5,100,12.5,12.5,12.5,37.5,62.5,25,25,25,25,25,12.5,12.5,50,75,100,62.5,62.5,62.5,62.5,62.5,25,25,25,25,37.5,12.5,12.5,37.5,62.5,75,25,25,25,87.5,100,50,50,50,50,50,25,25,25,25,25,12.5,12.5,12.5,37.5,62.5,50,50,75,87.5,100,12.5,12.5,37.5,62.5,75,25,25,25,87.5,100,50,50,50,50,50,50,50,50,50,50,12.5,12.5,25,37.5,62.5,75,75,75,87.5,100,25,25,37.5,50,100,0,0,0,0,0,12.5,12.5,12.5,62.5,75,25,25,25,37.5,62.5,50,50,75,87.5,100,12.5,12.5,12.5,12.5,12.5
